,縣市,鄉鎮市區,房屋曾出租過,月租金,需要管理費？,月管理費,提供車位？,每坪租金（含管理費與停車費）,建築類型,物件類型,自報頂加？,所在樓層,建物樓高,距頂樓層數,坪數,額外費用_電費？,額外費用_水費？,額外費用_瓦斯？,額外費用_網路？,額外費用_第四台？,附近有_學校？,附近有_公園？,附近有_百貨公司？,附近有_超商？,附近有_傳統市場？,附近有_夜市？,附近有_醫療機構？,有身份限制？,有性別限制？,性別限制,可炊？,可寵？,有產權登記？,刊登者類型,提供家具_床？,提供家具_桌子？,提供家具_椅子？,提供家具_電視？,提供家具_熱水器？,提供家具_冷氣？,提供家具_沙發？,提供家具_洗衣機？,提供家具_衣櫃？,提供家具_冰箱？,提供家具_網路？,提供家具_第四台？,提供家具_天然瓦斯？,緯度,經度
12,臺南市,臺南市北區,1,5000,F,0,F,1000.0,透天,獨立套房,F,3,3,0,5.0,T,F,T,F,F,T,T,F,T,F,F,T,F,F,不限,F,F,T,0,T,T,T,T,T,T,F,T,T,T,T,T,F,23.004762,120.22018
48,臺南市,臺南市永康區,1,20000,F,0,T,666.667,電梯大樓,整層住家,F,11,18,7,30.0,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,1,T,T,T,T,T,T,T,T,T,T,F,F,T,22.9984159,120.2333069
53,臺南市,臺南市安平區,2,8500,T,850,F,935.0,電梯大樓,獨立套房,F,7,13,6,10.0,T,T,T,F,F,T,T,F,T,T,T,T,T,F,不限,F,F,T,0,T,T,T,T,T,T,T,T,T,T,T,T,F,22.9974097,120.1818466
89,臺南市,臺南市東區,0,7500,F,0,F,750.0,透天,獨立套房,F,4,5,1,10.0,F,F,F,F,F,T,F,T,T,F,F,T,T,T,限女,F,F,F,0,T,T,T,T,T,T,F,T,T,T,T,T,T,22.9892171,120.2169491
110,臺南市,臺南市永康區,1,5500,F,0,F,1100.0,透天,獨立套房,F,2,2,0,5.0,T,F,T,F,T,T,T,F,T,F,F,T,T,F,不限,F,T,T,0,T,T,T,T,T,T,F,T,T,T,T,F,F,23.0162837,120.2234527
171,臺南市,臺南市東區,1,3200,F,0,T,640.0,公寓,獨立套房,F,3,5,2,5.0,T,T,T,T,T,T,T,F,T,T,T,T,T,F,不限,F,F,T,0,T,T,T,F,T,T,F,F,T,T,F,F,F,22.9872369,120.2219081
178,臺南市,臺南市北區,1,4000,F,0,F,1000.0,電梯大樓,分租套房,F,5,12,7,4.0,T,T,T,F,F,T,T,T,T,T,F,T,F,F,不限,F,F,T,0,T,T,T,T,T,T,F,T,T,T,T,T,F,23.0110719,120.2244498
242,臺南市,臺南市東區,1,4800,F,0,F,960.0,電梯大樓,獨立套房,F,2,5,3,5.0,T,T,T,F,F,T,T,T,T,F,T,T,T,F,不限,T,F,T,1,T,T,T,T,T,T,F,T,T,T,T,T,F,22.9909501,120.223326
337,臺南市,臺南市永康區,1,11500,F,0,T,958.333,電梯大樓,獨立套房,F,10,13,3,12.0,T,T,T,F,F,T,T,F,T,T,T,T,T,F,不限,T,F,T,1,T,T,T,T,T,T,T,T,T,T,T,T,F,23.0378534,120.2444424
346,臺南市,臺南市安平區,1,36000,T,3500,T,987.5,電梯大樓,整層住家,F,10,21,11,40.0,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,1,T,T,T,T,T,T,T,T,T,T,F,F,T,22.987948,120.1777053
