field_1,縣市,鄉鎮市區,房屋曾出租過,月租金,需要管理費？,月管理費,提供車位？,每坪租金（含管理費與停車費）,建築類型,物件類型,自報頂加？,所在樓層,建物樓高,距頂樓層數,坪數,額外費用_電費？,額外費用_水費？,額外費用_瓦斯？,額外費用_網路？,額外費用_第四台？,附近有_學校？,附近有_公園？,附近有_百貨公司？,附近有_超商？,附近有_傳統市場？,附近有_夜市？,附近有_醫療機構？,有身份限制？,有性別限制？,性別限制,可炊？,可寵？,有產權登記？,刊登者類型,提供家具_床？,提供家具_桌子？,提供家具_椅子？,提供家具_電視？,提供家具_熱水器？,提供家具_冷氣？,提供家具_沙發？,提供家具_洗衣機？,提供家具_衣櫃？,提供家具_冰箱？,提供家具_網路？,提供家具_第四台？,提供家具_天然瓦斯？,緯度,經度,VILLCODE,VILLNAME
"12",臺南市,臺南市北區,"1","5000",F,"0",F,1000,透天,獨立套房,F,"3","3","0",5,T,F,T,F,F,T,T,F,T,F,F,T,F,F,不限,F,F,T,"0",T,T,T,T,T,T,F,T,T,T,T,T,F,23.004762,120.22018,"67000340008",仁愛里
"48",臺南市,臺南市永康區,"1","20000",F,"0",T,666.667,電梯大樓,整層住家,F,"11","18","7",30,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,"1",T,T,T,T,T,T,T,T,T,T,F,F,T,22.9984159,120.2333069,"67000320027",莊敬里
"53",臺南市,臺南市安平區,"2","8500",T,"850",F,935,電梯大樓,獨立套房,F,"7","13","6",10,T,T,T,F,F,T,T,F,T,T,T,T,T,F,不限,F,F,T,"0",T,T,T,T,T,T,T,T,T,T,T,T,F,22.9974097,120.1818466,"67000360005",建平里
"89",臺南市,臺南市東區,"0","7500",F,"0",F,750,透天,獨立套房,F,"4","5","1",10,F,F,F,F,F,T,F,T,T,F,F,T,T,T,限女,F,F,F,"0",T,T,T,T,T,T,F,T,T,T,T,T,T,22.9892171,120.2169491,"67000320021",圍下里
"110",臺南市,臺南市永康區,"1","5500",F,"0",F,1100,透天,獨立套房,F,"2","2","0",5,T,F,T,F,T,T,T,F,T,F,F,T,T,F,不限,F,T,T,"0",T,T,T,T,T,T,F,T,T,T,T,F,F,23.0162837,120.2234527,"67000340001",開元里
"171",臺南市,臺南市東區,"1","3200",F,"0",T,640,公寓,獨立套房,F,"3","5","2",5,T,T,T,T,T,T,T,F,T,T,T,T,T,F,不限,F,F,T,"0",T,T,T,F,T,T,F,F,T,T,F,F,F,22.9872369,120.2219081,"67000320011",東安里
"178",臺南市,臺南市北區,"1","4000",F,"0",F,1000,電梯大樓,分租套房,F,"5","12","7",4,T,T,T,F,F,T,T,T,T,T,F,T,F,F,不限,F,F,T,"0",T,T,T,T,T,T,F,T,T,T,T,T,F,23.0110719,120.2244498,"67000340038",元寶里
"242",臺南市,臺南市東區,"1","4800",F,"0",F,960,電梯大樓,獨立套房,F,"2","5","3",5,T,T,T,F,F,T,T,T,T,F,T,T,T,F,不限,T,F,T,"1",T,T,T,T,T,T,F,T,T,T,T,T,F,22.9909501,120.223326,"67000320010",中西里
"337",臺南市,臺南市永康區,"1","11500",F,"0",T,958.333,電梯大樓,獨立套房,F,"10","13","3",12,T,T,T,F,F,T,T,F,T,T,T,T,T,F,不限,T,F,T,"1",T,T,T,T,T,T,T,T,T,T,T,T,F,23.0378534,120.2444424,"67000310010",塩行里
"346",臺南市,臺南市安平區,"1","36000",T,"3500",T,987.5,電梯大樓,整層住家,F,"10","21","11",40,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,"1",T,T,T,T,T,T,T,T,T,T,F,F,T,22.987948,120.1777053,"67000360010",國平里
"372",臺南市,臺南市安平區,"1","32000",F,"0",T,941.176,電梯大樓,整層住家,F,"14","20","6",34,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,F,"1",T,T,T,T,T,T,T,T,T,T,F,F,F,22.9851433,120.1707675,"67000360010",國平里
"398",臺南市,臺南市東區,"0","8500",F,"0",F,1103.9,電梯大樓,獨立套房,F,"4","5","1",7.7,T,T,T,F,T,T,T,F,T,T,T,F,T,F,不限,F,F,T,"0",T,T,T,F,T,T,F,T,T,T,T,F,F,22.9811167,120.2213547,"67000320039",德光里
"551",臺南市,臺南市永康區,"1","29000",F,"0",T,670.52,電梯大樓,整層住家,F,"15","19","4",43.25,T,T,T,T,T,T,T,T,T,T,F,T,F,F,不限,T,F,T,"1",T,T,T,T,T,T,T,T,T,T,F,F,T,22.9983485,120.2343655,"67000320027",莊敬里
"554",臺南市,臺南市永康區,"0","26000",F,"0",T,601.156,電梯大樓,整層住家,F,"15","19","4",43.25,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,"1",T,T,T,T,T,T,T,T,T,T,F,F,T,22.9983913,120.2332823,"67000320027",莊敬里
"581",臺南市,臺南市東區,"1","40000",F,"0",T,571.429,透天,整層住家,F,"0","5","5",70,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,T,T,"1",T,T,T,T,T,T,T,T,T,T,F,F,T,22.9832175,120.2440605,"67000320045",文聖里
"654",臺南市,臺南市中西區,"1","11500",F,"0",F,884.615,電梯大樓,獨立套房,F,"4","6","2",13,T,T,T,F,F,T,F,T,T,T,F,T,T,F,不限,T,F,T,"1",T,T,T,T,T,T,T,T,T,T,T,T,F,22.9939102,120.2107852,"67000370039",城隍里
"690",臺南市,臺南市東區,"1","4500",F,"0",F,642.857,透天,獨立套房,F,"3","4","1",7,T,F,T,F,F,T,T,T,T,T,T,T,T,T,限女,F,F,F,"0",T,T,T,T,T,T,F,T,T,T,T,T,F,22.9590395,120.2289554,"67000270012",成功里
"705",臺南市,臺南市中西區,"1","5000",F,"0",F,1000,透天,獨立套房,F,"3","3","0",5,T,F,T,F,T,T,T,T,T,T,T,T,T,T,限女,F,F,F,"0",T,T,T,T,T,T,F,T,T,T,T,T,F,23.0040711,120.1923079,"67000370025",光賢里
"714",臺南市,臺南市東區,"1","10000",T,"550",F,1318.75,電梯大樓,獨立套房,F,"19","22","3",8,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,"2",T,F,F,T,F,T,T,T,T,T,F,F,F,22.9832845,120.2161384,"67000320005",泉南里
"750",臺南市,臺南市永康區,"1","30000",F,"0",F,526.778,透天,整層住家,F,"0","4","4",57,T,T,T,T,T,T,T,F,T,T,F,F,T,F,不限,T,F,T,"1",T,T,T,F,T,T,T,F,T,F,F,F,F,23.0377978,120.2623662,"67000310007",烏竹里
"762",臺南市,臺南市東區,"2","6000",F,"0",F,879.765,公寓,獨立套房,F,"3","3","0",6.82,T,T,T,T,T,T,T,T,T,T,T,T,F,F,不限,F,F,T,"2",T,T,T,T,T,T,F,T,T,T,F,F,F,22.9909482,120.2159497,"67000320021",圍下里
"807",臺南市,臺南市北區,"2","6500",F,"0",T,812.5,透天,分租套房,F,"2","2","0",8,T,T,T,F,F,T,T,F,T,T,F,T,T,F,不限,F,F,T,"0",T,T,T,T,T,T,F,T,T,T,T,T,F,23.007604,120.228981,"67000340005",力行里
"808",臺南市,臺南市東區,"1","6000",F,"0",T,600,透天,獨立套房,F,"4","4","0",10,T,T,T,T,F,T,T,T,T,T,T,T,T,F,不限,F,F,T,"0",T,T,T,T,T,T,T,T,T,T,T,T,F,22.9737263,120.2308502,"67000320019",崇善里
"825",臺南市,臺南市東區,"1","4000",F,"0",T,1000,透天,獨立套房,F,"1","2","1",4,T,F,T,F,F,T,T,T,T,T,T,F,T,F,不限,F,F,T,"1",T,T,T,T,T,T,F,T,T,T,T,T,F,22.9840051,120.2137416,"67000320038",大同里
"826",臺南市,臺南市北區,"1","16500",F,"0",F,679.852,電梯大樓,整層住家,F,"10","18","8",24.3,T,T,T,T,T,T,T,T,T,T,T,T,T,F,不限,T,F,T,"2",T,T,T,F,F,F,T,F,T,F,F,F,F,23.001697,120.2024731,"67000340054",立人里
"847",臺南市,臺南市北區,"1","9800",F,"0",F,816.667,透天,分租套房,F,"2","4","2",12,T,F,T,F,T,T,T,T,T,F,F,T,T,F,不限,F,T,T,"0",T,T,T,T,T,T,T,T,F,T,T,F,F,23.005369,120.221576,"67000340007",振興里
"858",臺南市,臺南市東區,"1","9500",F,"0",F,791.667,透天,分租套房,F,"2","3","1",12,T,T,T,F,F,T,T,T,T,T,T,T,T,F,不限,T,T,T,"2",T,T,T,T,T,T,T,T,T,T,T,T,F,22.9768186,120.2384199,"67000270004",仁德里
"869",臺南市,臺南市北區,"1","6300",F,"0",F,787.5,透天,獨立套房,F,"2","3","1",8,T,F,T,F,F,T,T,T,T,T,F,T,T,F,不限,F,F,T,"0",T,T,T,T,T,T,F,T,T,T,T,T,F,23.0056989,120.2206706,"67000340007",振興里
"1011",臺南市,臺南市永康區,"1","4800",F,"0",F,960,透天,獨立套房,F,"2","5","3",5,T,T,T,F,F,T,T,F,T,T,F,F,T,F,不限,F,F,T,"2",T,T,T,T,T,T,F,F,T,T,T,T,F,23.0102891,120.262093,"67000310014",西灣里
