VILLNAME,每坪租金（含管理費與停車費）,里
三合里,701.1617391304347,三合里
三民里,467.857,三民里
中樓里,846.2240384615385,中樓里
中興里,736.528380952381,中興里
中華里,711.1657127659576,中華里
中西里,817.6742674418604,中西里
二王里,717.4369772727273,二王里
五條港里,758.46190625,五條港里
五王里,800.5162521739131,五王里
仁和里,691.235950617284,仁和里
仁德里,934.0781111111111,仁德里
仁愛里,912.9283222222222,仁愛里
佃東里,666.9069230769231,佃東里
佃西里,742.1228571428571,佃西里
佛壇里,750.0,佛壇里
億載里,969.28625,億載里
元寶里,722.1137951807228,元寶里
元美里,668.7457499999999,元美里
光復里,607.6576,光復里
光明里,816.9180769230769,光明里
光賢里,1154.154888888889,光賢里
兌悅里,754.1385416666667,兌悅里
公園里,920.1841833333333,公園里
公塭里,709.7401818181818,公塭里
公親里,311.905,公親里
六合里,831.8908407079646,六合里
再興里,735.3420000000001,再興里
力行里,829.1270357142857,力行里
勝利里,757.9684953271028,勝利里
北灣里,684.5731666666667,北灣里
北興里,803.7179523809524,北興里
北華里,838.7356233766234,北華里
北門里,793.9441363636364,北門里
南廠里,921.7573888888888,南廠里
南灣里,758.6656666666667,南灣里
南美里,863.3074126984127,南美里
南聖里,802.9458999999999,南聖里
南華里,614.28575,南華里
南都里,196.42849999999999,南都里
南門里,777.3244117647058,南門里
原佃里,717.8758888888889,原佃里
合興里,796.7951449275362,合興里
和平里,798.9082698412698,和平里
和順里,780.0128181818181,和順里
喜東里,617.647,喜東里
國宅里,838.0085,國宅里
國安里,857.143,國安里
國平里,902.6967603686637,國平里
圍下里,836.5435342465753,圍下里
城北里,791.6665,城北里
城東里,629.63,城東里
城隍里,899.5735459770115,城隍里
埔園里,768.5398,埔園里
塩洲里,849.301082278481,塩洲里
塩田里,532.68625,塩田里
塩興里,795.4678134328359,塩興里
塩行里,809.6398705035971,塩行里
塭南里,1035.8975,塭南里
大光里,767.6336153846155,大光里
大同里,803.3871759259259,大同里
大和里,796.2378571428571,大和里
大學里,873.7983174603174,大學里
大安里,606.6105,大安里
大德里,738.8736363636364,大德里
大忠里,1018.2407,大忠里
大恩里,693.3445161290323,大恩里
大成里,819.2842419354839,大成里
大智里,763.7656857142857,大智里
大林里,477.02717647058824,大林里
大橋里,874.290984496124,大橋里
大涼里,915.4150677966102,大涼里
大港里,994.3678695652173,大港里
大灣里,772.6933076923077,大灣里
大福里,709.6295652173912,大福里
大興里,747.1941400000001,大興里
大豐里,862.8979705882352,大豐里
天妃里,730.2337272727273,天妃里
太子里,633.333,太子里
學東里,500.0,學東里
安和里,859.6938571428572,安和里
安富里,623.5348260869565,安富里
安康里,678.4422155172414,安康里
安慶里,655.4516666666667,安慶里
安西里,731.104923076923,安西里
安順里,980.0012,安順里
富強里,727.8586666666666,富強里
富裕里,797.0372615384615,富裕里
小北里,844.0188800000001,小北里
小東里,772.1271975308642,小東里
小西門里,827.8883289473684,小西門里
